	index
ATP6V0A1	861
ATP6V0A2	862
ATP6V0B	863
ATP6V0C	864
ATP6V0D1	865
ATP6V0E1	866
ATP6V0E2	867
ATP6V1A	868
ATP6V1B1	869
ATP6V1B2	870
ATP6V1C1	871
ATP6V1C2	872
ATP6V1D	873
ATP6V1E1	874
ATP6V1E2	875
ATP6V1G1	876
ATP6V1G2	877
ATP6V1H	878
ATP7A	879
ATP8A1	880
ATP8A2	881
ATP8B3	882
ATP8B4	883
ATP9A	884
ATP9B	885
ATR	886
ATRAID	887
ATRN	888
ATRNL1	889
ATRX	890
ATXN1	891
ATXN10	892
ATXN2	893
ATXN2L	894
ATXN3	895
ATXN7L1	896
ATXN7L2	897
ATXN7L3	898
AUH	899
AUNIP	900
AUP1	901
AURKA	902
AURKAIP1	903
AURKB	904
AURKC	905
AVEN	906
AVPI1	907
AVPR1A	908
AVPR2	909
AWAT2	910
AXIN1	911
AXIN2	912
AXL	913
AZGP1	914
AZI2	915
AZIN1	916
B2M	917
B3GALNT1	918
B3GALNT2	919
B3GALT1	920
B3GALT2	921
B3GALT4	922
B3GAT1	923
B3GAT2	924
B3GAT3	925
B3GNT2	926
B3GNT3	927
B3GNT4	928
B3GNT5	929
B3GNT6	930
B3GNT7	931
B3GNT9	932
B3GNTL1	933
B4GALNT1	934
B4GALNT2	935
B4GALNT3	936
B4GALNT4	937
B4GALT1	938
B4GALT3	939
B4GALT4	940
B4GALT5	941
B4GALT6	942
B4GALT7	943
B9D2	944
BAALC	945
BACE1	946
BACE2	947
BACH2	948
BAD	949
BAG2	950
BAG3	951
BAG4	952
BAG5	953
BAHD1	954
BAIAP2	955
BAIAP2L1	956
BAIAP2L2	957
BAIAP3	958
BAK1	959
BAMBI	960
BANF1	961
BANP	962
BAP1	963
BARD1	964
BARHL1	965
BARX2	966
BATF	967
BATF2	968
BATF3	969
BAX	970
BAZ1A	971
BAZ1B	972
BAZ2A	973
BAZ2B	974
BBC3	975
BBOX1	976
BBS12	977
BBS2	978
BBS4	979
BBS5	980
BBS7	981
BBS9	982
BBX	983
BCAN	984
BCAP31	985
BCAR1	986
BCAS1	987
BCAS2	988
BCAS3	989
BCAT1	990
BCAT2	991
BCCIP	992
BCDIN3D	993
BCHE	994
BCKDHA	995
BCKDHB	996
BCKDK	997
BCL11B	998
BCL2	999
BCL2A1	1000
BCL2L1	1001
BCL2L11	1002
BCL2L12	1003
BCL2L13	1004
BCL3	1005
BCL6	1006
BCL6B	1007
BCL7B	1008
BCL7C	1009
BCL9	1010
BCL9L	1011
BCLAF1	1012
BCO2	1013
BCOR	1014
BCORL1	1015
BCS1L	1016
BDH1	1017
BDH2	1018
BDKRB1	1019
BDKRB2	1020
BDNF	1021
BDP1	1022
BECN1	1023
BEND3	1024
BEND4	1025
BEND5	1026
BEND6	1027
BEND7	1028
BEST1	1029
BEST2	1030
BEST3	1031
BEST4	1032
BET1	1033
BET1L	1034
BEX1	1035
BEX2	1036
BEX4	1037
BFAR	1038
BFSP1	1039
BFSP2	1040
BGLAP	1041
BGN	1042
BHLHE40	1043
BHLHE41	1044
BHMT	1045
BHMT2	1046
BICC1	1047
BICD2	1048
BID	1049
BIN1	1050
BIN2	1051
BIRC2	1052
BIRC3	1053
BIRC5	1054
BIRC6	1055
BIRC7	1056
BLM	1057
BLMH	1058
BLNK	1059
BLOC1S2	1060
BLOC1S5	1061
BLOC1S6	1062
BLVRA	1063
BLVRB	1064
BLZF1	1065
BMF	1066
BMI1	1067
BMP1	1068
BMP2	1069
BMP2K	1070
BMP3	1071
BMP4	1072
BMP6	1073
BMP7	1074
BMP8B	1075
BMPER	1076
BMPR1B	1077
BMPR2	1078
BMS1	1079
BNC1	1080
BNC2	1081
BNIP1	1082
BNIP2	1083
BNIP3L	1084
BNIPL	1085
BOC	1086
BOD1L1	1087
BOLA1	1088
BOLL	1089
BOP1	1090
BORA	1091
BPGM	1092
BPHL	1093
BPIFB2	1094
BPIFB4	1095
BPNT1	1096
BPTF	1097
BRAP	1098
BRCA2	1099
BRCC3	1100
BRD1	1101
BRD2	1102
BRD3	1103
BRD4	1104
BRD8	1105
BRD9	1106
BRDT	1107
BRF1	1108
BRF2	1109
BRI3	1110
BRICD5	1111
BRINP1	1112
BRINP2	1113
BRIP1	1114
BRIX1	1115
BRK1	1116
BRMS1	1117
BRMS1L	1118
BROX	1119
BRPF1	1120
BRPF3	1121
BRSK2	1122
BRWD3	1123
BSCL2	1124
BSDC1	1125
BSG	1126
BSN	1127
BSPRY	1128
BST1	1129
BST2	1130
BTAF1	1131
BTBD1	1132
BTBD10	1133
BTBD16	1134
BTBD17	1135
BTBD3	1136
BTBD6	1137
BTBD7	1138
BTBD8	1139
BTBD9	1140
BTC	1141
BTD	1142
BTF3	1143
BTG1	1144
BTG3	1145
BTG4	1146
BTK	1147
BTLA	1148
BTN1A1	1149
BTN2A1	1150
BTN2A2	1151
BTN3A1	1152
BTN3A2	1153
BTN3A3	1154
BTNL2	1155
BTNL8	1156
BTNL9	1157
BTRC	1158
BUB1	1159
BUB1B	1160
BUB3	1161
BUD13	1162
BUD31	1163
BVES	1164
BYSL	1165
BZW1	1166
BZW2	1167
C10orf82	1168
C10orf88	1169
C10orf90	1170
C11orf16	1171
C11orf24	1172
C11orf45	1173
C11orf49	1174
C11orf52	1175
C11orf54	1176
C11orf58	1177
C11orf65	1178
C11orf71	1179
C11orf80	1180
C11orf87	1181
C12orf4	1182
C12orf45	1183
C12orf56	1184
C12orf65	1185
C12orf66	1186
C14orf119	1187
C14orf93	1188
C15orf39	1189
C15orf48	1190
C16orf54	1191
C16orf70	1192
C16orf71	1193
C16orf87	1194
C17orf49	1195
C17orf75	1196
C17orf80	1197
C17orf97	1198
C18orf25	1199
C18orf54	1200
C19orf12	1201
C19orf18	1202
C19orf33	1203
C19orf44	1204
C19orf47	1205
C1GALT1C1	1206
C1QA	1207
C1QB	1208
C1QC	1209
C1QL1	1210
C1QTNF2	1211
C1QTNF3	1212
C1QTNF6	1213
C1QTNF7	1214
C1QTNF9	1215
C1QTNF9B	1216
C1RL	1217
C1orf116	1218
C1orf127	1219
C1orf131	1220
C1orf159	1221
C1orf174	1222
C1orf198	1223
C1orf21	1224
C1orf210	1225
C1orf216	1226
C1orf226	1227
C1orf50	1228
C1orf52	1229
C1orf54	1230
C1orf87	1231
C1orf94	1232
C20orf194	1233
C20orf27	1234
C21orf58	1235
C21orf91	1236
C2CD2	1237
C2CD2L	1238
C2CD3	1239
C2CD5	1240
C2orf42	1241
C2orf49	1242
C2orf50	1243
C2orf68	1244
C2orf69	1245
C2orf73	1246
C2orf76	1247
C3	1248
C3AR1	1249
C3orf20	1250
C3orf33	1251
C3orf38	1252
C3orf52	1253
C3orf62	1254
C3orf70	1255
C4BPA	1256
C4BPB	1257
C4orf19	1258
C4orf3	1259
C5orf15	1260
C5orf22	1261
C5orf24	1262
C5orf51	1263
C6orf118	1264
C6orf120	1265
C6orf136	1266
C6orf141	1267
C6orf15	1268
C6orf201	1269
C6orf226	1270
C6orf47	1271
C6orf58	1272
C6orf62	1273
C6orf89	1274
C7	1275
C7orf25	1276
C7orf26	1277
C7orf31	1278
C7orf50	1279
C8G	1280
C8orf33	1281
C8orf34	1282
C9	1283
C9orf24	1284
C9orf43	1285
C9orf50	1286
C9orf64	1287
C9orf72	1288
C9orf78	1289
CA1	1290
CA10	1291
CA11	1292
CA12	1293
CA13	1294
CA14	1295
CA2	1296
CA4	1297
CA6	1298
CA7	1299
CA8	1300
CA9	1301
CAAP1	1302
CAB39	1303
CAB39L	1304
CABIN1	1305
CABLES1	1306
CABLES2	1307
CABP1	1308
CABYR	1309
CACFD1	1310
CACNA1A	1311
CACNA1B	1312
CACNA1E	1313
CACNA1G	1314
CACNA1H	1315
CACNA1I	1316
CACNA1S	1317
CACNA2D1	1318
CACNA2D2	1319
CACNA2D3	1320
CACNA2D4	1321
CACNB1	1322
CACNB2	1323
CACNB3	1324
CACNB4	1325
CACNG1	1326
CACNG4	1327
CACNG6	1328
CACNG7	1329
CACNG8	1330
CACTIN	1331
CACUL1	1332
CAD	1333
CADM1	1334
CADM2	1335
CADM3	1336
CADM4	1337
CADPS	1338
CADPS2	1339
CAGE1	1340
CALB2	1341
CALCA	1342
CALCOCO1	1343
CALCOCO2	1344
CALD1	1345
CALHM1	1346
CALM1	1347
CALM2	1348
CALML3	1349
CALML5	1350
CALML6	1351
CALN1	1352
CALR	1353
CALR3	1354
CALU	1355
CAMK1	1356
CAMK1D	1357
CAMK1G	1358
CAMK2A	1359
CAMK2D	1360
CAMK2G	1361
CAMK4	1362
CAMKK2	1363
CAMKMT	1364
CAMKV	1365
CAMSAP1	1366
CAMSAP2	1367
CAMSAP3	1368
CAMTA1	1369
CAMTA2	1370
CAND1	1371
CAND2	1372
CANT1	1373
CANX	1374
CAP1	1375
CAP2	1376
CAPG	1377
CAPN1	1378
CAPN10	1379
CAPN11	1380
CAPN12	1381
CAPN14	1382
CAPN15	1383
CAPN2	1384
CAPN3	1385
CAPN5	1386
CAPN6	1387
CAPN7	1388
CAPN8	1389
CAPN9	1390
CAPNS1	1391
CAPRIN1	1392
CAPRIN2	1393
CAPSL	1394
CAPZA1	1395
CAPZA3	1396
CAPZB	1397
CARD10	1398
CARD11	1399
CARD16	1400
CARD6	1401
CARF	1402
CARHSP1	1403
CARM1	1404
CARNS1	1405
CARS2	1406
CASC3	1407
CASK	1408
CASKIN1	1409
CASKIN2	1410
CASP1	1411
CASP10	1412
CASP2	1413
CASP3	1414
CASP4	1415
CASP5	1416
CASP6	1417
CASP7	1418
CASP8	1419
CASP9	1420
CASQ1	1421
CASQ2	1422
CASS4	1423
CASZ1	1424
CAT	1425
CATSPER1	1426
CATSPER3	1427
CATSPER4	1428
CATSPERD	1429
CATSPERG	1430
CAV1	1431
CAV3	1432
CBFA2T2	1433
CBFA2T3	1434
CBFB	1435
CBL	1436
CBLB	1437
CBLL1	1438
CBLN1	1439
CBLN3	1440
CBLN4	1441
CBR1	1442
CBR3	1443
CBX1	1444
CBX2	1445
CBX3	1446
CBX4	1447
CBX5	1448
CBX8	1449
CBY1	1450
CC2D1A	1451
CC2D1B	1452
CC2D2A	1453
CCAR1	1454
CCDC102A	1455
CCDC102B	1456
CCDC103	1457
CCDC106	1458
CCDC107	1459
CCDC110	1460
CCDC112	1461
CCDC116	1462
CCDC117	1463
CCDC12	1464
CCDC120	1465
CCDC121	1466
CCDC122	1467
CCDC124	1468
CCDC127	1469
CCDC130	1470
CCDC136	1471
CCDC137	1472
CCDC138	1473
CCDC14	1474
CCDC146	1475
CCDC148	1476
CCDC15	1477
CCDC157	1478
CCDC158	1479
CCDC159	1480
CCDC168	1481
CCDC17	1482
CCDC170	1483
CCDC171	1484
CCDC18	1485
CCDC180	1486
CCDC181	1487
CCDC22	1488
CCDC24	1489
CCDC25	1490
CCDC28A	1491
CCDC28B	1492
CCDC33	1493
CCDC34	1494
CCDC39	1495
CCDC40	1496
CCDC42	1497
CCDC43	1498
CCDC47	1499
CCDC50	1500
CCDC51	1501
CCDC6	1502
CCDC61	1503
CCDC65	1504
CCDC68	1505
CCDC69	1506
CCDC70	1507
CCDC71	1508
CCDC74B	1509
CCDC77	1510
CCDC78	1511
CCDC8	1512
CCDC83	1513
CCDC85A	1514
CCDC85B	1515
CCDC87	1516
CCDC88B	1517
CCDC88C	1518
CCDC89	1519
CCDC9	1520
CCDC90B	1521
CCDC92	1522
CCDC93	1523
CCDC96	1524
CCDC97	1525
CCHCR1	1526
CCIN	1527
CCK	1528
CCKAR	1529
CCKBR	1530
CCL11	1531
CCL13	1532
CCL15	1533
CCL16	1534
CCL19	1535
CCL2	1536
CCL21	1537
CCL23	1538
CCL25	1539
CCL26	1540
CCL27	1541
CCL28	1542
CCL3	1543
CCM2	1544
CCM2L	1545
CCNA1	1546
CCNA2	1547
CCNB1	1548
CCNB2	1549
CCNC	1550
CCND1	1551
CCND2	1552
CCND3	1553
CCNDBP1	1554
CCNE1	1555
CCNE2	1556
CCNF	1557
CCNG2	1558
CCNH	1559
CCNI2	1560
CCNJ	1561
CCNK	1562
