	index
C15orf48	1362
C16orf54	1363
C16orf70	1364
C16orf71	1365
C16orf87	1366
C16orf89	1367
C17orf49	1368
C17orf67	1369
C17orf75	1370
C17orf80	1371
C17orf97	1372
C18orf21	1373
C18orf25	1374
C18orf54	1375
C19orf12	1376
C19orf18	1377
C19orf33	1378
C19orf44	1379
C19orf47	1380
C1GALT1	1381
C1GALT1C1	1382
C1QA	1383
C1QB	1384
C1QC	1385
C1QL1	1386
C1QTNF1	1387
C1QTNF2	1388
C1QTNF3	1389
C1QTNF5	1390
C1QTNF6	1391
C1QTNF7	1392
C1QTNF9	1393
C1QTNF9B	1394
C1RL	1395
C1S	1396
C1orf112	1397
C1orf116	1398
C1orf127	1399
C1orf131	1400
C1orf159	1401
C1orf162	1402
C1orf174	1403
C1orf189	1404
C1orf198	1405
C1orf21	1406
C1orf210	1407
C1orf216	1408
C1orf226	1409
C1orf43	1410
C1orf50	1411
C1orf52	1412
C1orf54	1413
C1orf87	1414
C1orf94	1415
C20orf194	1416
C20orf27	1417
C21orf58	1418
C21orf91	1419
C22orf46	1420
C2CD2	1421
C2CD2L	1422
C2CD3	1423
C2CD5	1424
C2orf42	1425
C2orf49	1426
C2orf50	1427
C2orf68	1428
C2orf69	1429
C2orf73	1430
C2orf76	1431
C3	1432
C3AR1	1433
C3orf20	1434
C3orf33	1435
C3orf36	1436
C3orf38	1437
C3orf52	1438
C3orf62	1439
C3orf70	1440
C4A	1441
C4B	1442
C4BPA	1443
C4BPB	1444
C4orf19	1445
C4orf3	1446
C4orf48	1447
C5	1448
C5AR1	1449
C5AR2	1450
C5orf15	1451
C5orf22	1452
C5orf24	1453
C5orf51	1454
C5orf63	1455
C6	1456
C6orf118	1457
C6orf120	1458
C6orf136	1459
C6orf141	1460
C6orf15	1461
C6orf201	1462
C6orf226	1463
C6orf47	1464
C6orf58	1465
C6orf62	1466
C6orf89	1467
C7	1468
C7orf25	1469
C7orf26	1470
C7orf31	1471
C7orf50	1472
C8B	1473
C8G	1474
C8orf33	1475
C8orf34	1476
C8orf48	1477
C9	1478
C9orf24	1479
C9orf43	1480
C9orf50	1481
C9orf64	1482
C9orf72	1483
C9orf78	1484
CA1	1485
CA10	1486
CA11	1487
CA12	1488
CA13	1489
CA14	1490
CA2	1491
CA3	1492
CA4	1493
CA6	1494
CA7	1495
CA8	1496
CA9	1497
CAAP1	1498
CAB39	1499
CAB39L	1500
CABIN1	1501
CABLES1	1502
CABLES2	1503
CABP1	1504
CABYR	1505
CACFD1	1506
CACHD1	1507
CACNA1A	1508
CACNA1B	1509
CACNA1C	1510
CACNA1D	1511
CACNA1E	1512
CACNA1F	1513
CACNA1G	1514
CACNA1H	1515
CACNA1I	1516
CACNA1S	1517
CACNA2D1	1518
CACNA2D2	1519
CACNA2D3	1520
CACNA2D4	1521
CACNB1	1522
CACNB2	1523
CACNB3	1524
CACNB4	1525
CACNG1	1526
CACNG4	1527
CACNG6	1528
CACNG7	1529
CACNG8	1530
CACTIN	1531
CACUL1	1532
CAD	1533
CADM1	1534
CADM2	1535
CADM3	1536
CADM4	1537
CADPS	1538
CADPS2	1539
CAGE1	1540
CALB1	1541
CALB2	1542
CALCA	1543
CALCOCO1	1544
CALCOCO2	1545
CALCR	1546
CALCRL	1547
CALD1	1548
CALHM1	1549
CALM1	1550
CALM2	1551
CALML3	1552
CALML5	1553
CALML6	1554
CALN1	1555
CALR	1556
CALR3	1557
CALU	1558
CAMK1	1559
CAMK1D	1560
CAMK1G	1561
CAMK2A	1562
CAMK2B	1563
CAMK2D	1564
CAMK2G	1565
CAMK4	1566
CAMKK1	1567
CAMKK2	1568
CAMKMT	1569
CAMKV	1570
CAMSAP1	1571
CAMSAP2	1572
CAMSAP3	1573
CAMTA1	1574
CAMTA2	1575
CAND1	1576
CAND2	1577
CANT1	1578
CANX	1579
CAP1	1580
CAP2	1581
CAPG	1582
CAPN1	1583
CAPN10	1584
CAPN11	1585
CAPN12	1586
CAPN13	1587
CAPN14	1588
CAPN15	1589
CAPN2	1590
CAPN3	1591
CAPN5	1592
CAPN6	1593
CAPN7	1594
CAPN8	1595
CAPN9	1596
CAPNS1	1597
CAPRIN1	1598
CAPRIN2	1599
CAPSL	1600
CAPZA1	1601
CAPZA2	1602
CAPZA3	1603
CAPZB	1604
CARD10	1605
CARD11	1606
CARD14	1607
CARD16	1608
CARD6	1609
CARD8	1610
CARD9	1611
CARF	1612
CARHSP1	1613
CARM1	1614
CARNS1	1615
CARS2	1616
CASC3	1617
CASK	1618
CASKIN1	1619
CASKIN2	1620
CASP1	1621
CASP10	1622
CASP14	1623
CASP2	1624
CASP3	1625
CASP4	1626
CASP5	1627
CASP6	1628
CASP7	1629
CASP8	1630
CASP9	1631
CASQ1	1632
CASQ2	1633
CASR	1634
CASS4	1635
CAST	1636
CASZ1	1637
CAT	1638
CATSPER1	1639
CATSPER2	1640
CATSPER3	1641
CATSPER4	1642
CATSPERB	1643
CATSPERD	1644
CATSPERG	1645
CAV1	1646
CAV3	1647
CBFA2T2	1648
CBFA2T3	1649
CBFB	1650
CBL	1651
CBLB	1652
CBLC	1653
CBLL1	1654
CBLN1	1655
CBLN2	1656
